,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
172,"Lucid Dreams","Juice WRLD",410775,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
173,"ONLY YOU (feat. Dhurata Dora)",GIMS,410698,https://open.spotify.com/track/3QNjxtei6jekNeNJzRbwI6
174,"Leave The Door Open","Bruno Mars",403505,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
175,"Irgendwann ist jetzt","Max Giesinger",402263,https://open.spotify.com/track/3gMi9DLCVNNAnj9URmWNlD
176,"Someone You Loved","Lewis Capaldi",402208,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
177,"Jalebi Baby (Tesher x Jason Derulo)",Tesher,400612,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8
178,"Diese eine Melodie","Kontra K",399463,https://open.spotify.com/track/0IAWGIDcij216tBZ2C5tAg
179,"Asphalt & Tennissocken","Kontra K",398997,https://open.spotify.com/track/3KPyABqRfQu0eCHRFW1AIn
180,SHUM,Go_A,398834,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm
181,Elbe,Bozza,398485,https://open.spotify.com/track/2kvJnNMqnimkCZUUWjOINy
182,"gebe auf.",Lune,397487,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
183,"Close Your Eyes","Felix Jaehn",395256,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
184,Dior,"Pop Smoke",394430,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
185,Stay,"Michael Schulte",393308,https://open.spotify.com/track/0S5CurjBT1nbbD4YFTRrRv
186,110,"Capital Bra",392718,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
187,"San Andreas",RIN,392356,https://open.spotify.com/track/1VuBab65w8vPFeFvREDA32
188,"500 PS","Bonez MC",389525,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
189,Dynamite,BTS,388768,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
190,"Täter Intensiv","187 Strassenbande",388609,https://open.spotify.com/track/1IQjulXWBd2vPI5AsWIidN
191,"Impossible (feat. John Martin)","David Guetta",387174,https://open.spotify.com/track/7nvaEKdCDWbnQK7uJsCS5y
192,"Some Say - Felix Jaehn Remix",Nea,386754,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
193,"Dancing On Dangerous (feat. Sofía Reyes)",Imanbek,385232,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
194,"I Gotta Feeling","Black Eyed Peas",385221,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
195,"Bitte sag's nicht meiner Freundin",K.I.Z,384966,https://open.spotify.com/track/1NridNoJ0aBJyCh6hQxY4T
196,Rise,"Lost Frequencies",384013,https://open.spotify.com/track/7HXBG0W8gFJwHUh5mVF9tf
197,"Lemon Tree","Alle Farben",381745,https://open.spotify.com/track/6sGeBxS4PIEtZdWpgdnitV
198,Fame,"Apache 207",379716,https://open.spotify.com/track/0QjjaCaXE45mvhCnV3C0TA
199,Robbery,"Juice WRLD",379101,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
200,"Kings & Queens","Ava Max",378116,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
