,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
157,"Avec le temps","Soso Maness",326271,https://open.spotify.com/track/0lQwbWKIuBxK5L4syNB1LZ
158,"Les Borgia","Luv Resval",326023,https://open.spotify.com/track/30xezgodRAxpEf28kkikx3
159,"SUN GOES DOWN","Lil Nas X",322874,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
160,"Titans (feat. Sia & Labrinth)","Major Lazer",322687,https://open.spotify.com/track/3MCteyAIvFaMpXtHd7lmh1
161,éternel,Hatik,322591,https://open.spotify.com/track/6qA7BY2EsWb5QfUeFzyV7I
162,"Flûte de pan","Luv Resval",321814,https://open.spotify.com/track/22PnLGUuJWCmIbgfOsd63Y
163,"Mais je t'aime","Grand Corps Malade",321532,https://open.spotify.com/track/2twcZTB1udOEzDCPpTiOju
164,"Macaroni (feat. Ninho)",Leto,319226,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
165,Outro,"Soso Maness",317980,https://open.spotify.com/track/2ZuzQB7OfIY3OocxwI0DNU
166,"Ρ. DOSE",Damso,317559,https://open.spotify.com/track/0pU7enpfjSu21LwCb1708u
167,"Roses - Imanbek Remix","SAINt JHN",316294,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
168,"Jamais revenue (feat. Josman)","Luv Resval",315891,https://open.spotify.com/track/7ufZV6hBpHdPXxyYlAnkHr
169,Alicante,Gambino,315157,https://open.spotify.com/track/6LuAw59JilwQieOcFW6vfe
170,"By Your Side (feat. Tom Grennan)","Calvin Harris",314555,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
171,"Au DD",PNL,311513,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
172,"Another Love","Tom Odell",309287,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
173,"Het gaat goed","Soso Maness",308451,https://open.spotify.com/track/0E973aO7RnsR82rkYhOVu2
174,Crack,SCH,308100,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
175,"Higher Power",Coldplay,307914,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
176,"Hecha Pa' Mi",Boza,307190,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
177,"À la fête",UZI,306478,https://open.spotify.com/track/5TyBXMmVCtAxpOMTCILl8C
178,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",305505,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
179,"Le reste","Clara Luciani",304943,https://open.spotify.com/track/6Y7ASgqMynK2IYYYVWnnGo
180,"RATPI WORLD",Booba,304042,https://open.spotify.com/track/2ZjTAieewsBC24kPGfLagc
181,Blanche,Maes,303726,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
182,"Pépé Anglais","Zuukou mayzie",303010,https://open.spotify.com/track/3r2gwZBe5SuG5F9PdlMp1X
183,"Billets mauves",KeBlack,301817,https://open.spotify.com/track/2XUK94G2C5C5WcYdx2Y8Dn
184,Dior,"Pop Smoke",301572,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
185,"Hadès (feat. Lujipeka)","Luv Resval",301355,https://open.spotify.com/track/7inCeq8nQ5RMnbNU5Beu3g
186,"One More Time (feat. Alida)",Alida,301322,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
187,Onizuka,PNL,300557,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by
188,"Ça va bien se passer",Nahir,298119,https://open.spotify.com/track/1orYQKuCNZ1gY06KJ4FhcB
189,"Dans ma fonce",DTF,296763,https://open.spotify.com/track/2CAyIu44xj24gRLpLzUYj6
190,"deja vu","Olivia Rodrigo",292950,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
191,Meleğim,Soolking,292236,https://open.spotify.com/track/0BD9boQC7jUTWkAoib4Z0d
192,Evidemment,"Kendji Girac",291725,https://open.spotify.com/track/2W4pIy8ThH4ib8fOGxcLjX
193,"Madame Maness","Soso Maness",290460,https://open.spotify.com/track/63UUJvLMwu7mokDPe7KQS2
194,"Avant la douane",Jul,290088,https://open.spotify.com/track/3AwXhQWatI5b1sLIhsnOdP
195,"Dieu merci",Dadju,288290,https://open.spotify.com/track/1HDqaIxeJ70BTHgZWEuaeT
196,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",287479,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
197,"Trop beau",Lomepal,286393,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
198,"Ne reviens pas",Gradur,286125,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
199,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,283766,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
200,"Jolie nana","Aya Nakamura",283220,https://open.spotify.com/track/65RWVU6N81CeH65nu52K1U
